,Unnamed: 0.1,Job Title,Company,location,site,jobtype,health_insurance,Dental_insurance,years of experience,benefits_401k,stocks,date_posted,lower_limit_salary,upper_limit_salary
110,110,Global Quantitative Strategies | Quantitative Research Engineer,Citadel,Chicago,Citadel,Full-time,1,0,0,0,0,3,200000,225000.0
113,113,Quantitative Analyst - CIO Office,Point72,New York,LinkedIn,Full-time,1,0,0,1,0,30,175000,300000.0
115,115,Quantitative Researcher – 2025 PhD Graduate,Citadel Securities,Miami,Indeed,Full-time,1,0,0,0,0,30,225000,300000.0
117,117,"Senior Quantitative Researcher Futures - Jersey City, NJ",Stevens Capital Management LP,Jersey City,ZipRecruiter,Full-time,1,1,5,1,0,30,150000,300000.0
118,118,"Associate, Quantitative Researcher",BlackRock,Boston,JobzMall,Full-time,0,0,0,1,0,30,113000,150000.0
121,121,Quantitative Research - Options Electronic Trading,Chase Bank,Seattle,JobzMall,Full-time,0,0,0,1,1,30,150000,300000.0
122,122,Quantitative Researcher,Nasdaq,Philadelphia,ZipRecruiter,Full-time,1,1,0,1,1,30,19200,19200.0
123,123,Quant Researcher,Candidate Portal,New York,ZipRecruiter,Full-time,0,0,0,1,1,30,200,200.0
124,124,Senior Quantitative Researcher - Systematic Credit,Algo Capital Group,Chicago,LinkedIn,Full-time,0,0,0,0,1,14,350,650.0
125,125,Quantitative Analyst,American Century Investments,Santa Clara,LinkedIn,Full-time,0,0,0,1,1,3,259200,316800.0
127,127,Quantitative Researcher,MSCI Inc.,Berkeley,Glassdoor,Full-time,1,0,0,1,1,5,149000,194000.0
128,128,Quantitative Researcher,American Century Investments,Santa Clara,LinkedIn,Full-time,0,0,0,0,1,10,149000,162000.0
129,129,Quantitative Researcher,MSCI Inc.,Berkeley,Indeed,Full-time,1,0,5,0,1,5,149000,194000.0
130,130,Quantitative Research Associate,Stanford University,Stanford,Inside Higher Ed Careers,Full-time,1,0,2,0,0,30,800,800.0
131,131,"Associate, Quantitative Researcher",BlackRock,Palo Alto,JobzMall,Full-time,0,0,0,1,1,30,120000,160000.0
132,132,Associate Quantitative Analytics and Forecasting Director,Exelixis,Alameda,LinkedIn,Full-time,1,1,7,1,1,2,171000,243000.0
133,133,"Lead Product Researcher, Quantitative",Snap Inc.,Palo Alto,Built In San Francisco,Full-time,1,0,6,1,1,2,143000,252000.0
135,135,Policy Analyst: Quantitative,Stanford University,Stanford,ZipRecruiter,Full-time,1,0,2,1,1,30,76000,95000.0
136,136,Quantitative Researcher,MSCI,Berkeley,Msci,Full-time,1,0,0,1,0,21,144000,187000.0
139,139,"Quantitative Marketing Analyst, Google, Search Marketing",Google,Mountain View,LinkedIn,Full-time,1,0,0,0,1,10,87000,128000.0
141,141,"Associate, Quantitative Researcher",BlackRock,San Francisco,JobzMall,Full-time,0,0,0,0,0,30,150000,250000.0
143,143,Quant Analyst,"Software Guidance & Assistance, Inc. (SGA, Inc.)",San Jose,LinkedIn,Full-time,0,0,3,0,0,23,96000,109440.0
146,146,Senior Quantitative Developer - BQuant Research Platform,Bloomberg L.P.,San Francisco,Dice.com,Full-time,1,1,4,1,1,30,240,240.0
147,147,"Staff Quantitative Product Researcher, Shopping",Pinterest,Anywhere • via Indeed,Indeed,Full-time,0,0,5,1,0,30,288000,278.0
148,148,"Analyst, Quantitative Data Operations",Fidelity Investments,San Francisco,JobzMall,Full-time,0,0,0,1,1,30,85000,125000.0
